t	Vt	phi	theta	psi	PN	PE	H	ele	ail	rud	eng	H_cmd
0.440000	29.999975	0.000000	0.991209	0.000000	-1086.800011	0.000000	50.000893	0.992859	0.000000	0.000000	46.304094	50.000000
0.450000	29.999975	0.000000	0.991223	0.000000	-1086.500011	0.000000	50.000922	0.992883	0.000000	0.000000	46.304299	50.000000
0.460000	29.999976	0.000000	0.991236	0.000000	-1086.200012	0.000000	50.000951	0.992906	0.000000	0.000000	46.304495	50.000000
0.470000	29.999976	0.000000	0.991248	0.000000	-1085.900012	0.000000	50.000980	0.992928	0.000000	0.000000	46.304682	50.000000
0.480000	29.999976	0.000000	0.991258	0.000000	-1085.600012	0.000000	50.001009	0.992950	0.000000	0.000000	46.304859	50.000000
0.490000	29.999976	0.000000	0.991268	0.000000	-1085.300012	0.000000	50.001038	0.992972	0.000000	0.000000	46.305027	50.000000
0.500000	29.999976	0.000000	0.991277	0.000000	-1085.000013	0.000000	50.001068	0.992994	0.000000	0.000000	46.305186	50.000000
0.510000	29.999977	0.000000	0.991285	0.000000	-1084.700013	0.000000	50.001098	0.993015	0.000000	0.000000	46.305337	50.000000
0.520000	29.999977	0.000000	0.991292	0.000000	-1084.400013	0.000000	50.001127	0.993036	0.000000	0.000000	46.305478	50.000000
0.535000	29.999977	0.000000	0.991300	0.000000	-1083.950014	0.000000	50.001172	0.993077	0.000000	0.000000	46.305735	50.000000
0.545000	29.999977	0.000000	0.991305	0.000000	-1083.650014	0.000000	50.001202	0.993097	0.000000	0.000000	46.305851	50.000000
0.555000	29.999978	0.000000	0.991308	0.000000	-1083.350014	0.000000	50.001233	0.993116	0.000000	0.000000	46.305958	50.000000
0.565000	29.999978	0.000000	0.991311	0.000000	-1083.050014	0.000000	50.001263	0.993136	0.000000	0.000000	46.306058	50.000000
0.575000	29.999978	0.000000	0.991312	0.000000	-1082.750014	0.000000	50.001294	0.993155	0.000000	0.000000	46.306149	50.000000
0.585000	29.999978	0.000000	0.991313	0.000000	-1082.450015	0.000000	50.001324	0.993173	0.000000	0.000000	46.306233	50.000000
0.595000	29.999978	0.000000	0.991313	0.000000	-1082.150015	0.000000	50.001355	0.993192	0.000000	0.000000	46.306309	50.000000
0.605000	29.999979	0.000000	0.991312	0.000000	-1081.850015	0.000000	50.001386	0.993210	0.000000	0.000000	46.306377	50.000000
0.615000	29.999979	0.000000	0.991311	0.000000	-1081.550015	0.000000	50.001417	0.993228	0.000000	0.000000	46.306438	50.000000
0.630000	29.999979	0.000000	0.991307	0.000000	-1081.100016	0.000000	50.001463	0.993245	0.000000	0.000000	46.306492	50.000000
0.640000	29.999980	0.000000	0.991303	0.000000	-1080.800016	0.000000	50.001494	0.993262	0.000000	0.000000	46.306538	50.000000
0.650000	29.999980	0.000000	0.991299	0.000000	-1080.500016	0.000000	50.001526	0.993279	0.000000	0.000000	46.306578	50.000000
0.660000	29.999980	0.000000	0.991293	0.000000	-1080.200016	0.000000	50.001557	0.993296	0.000000	0.000000	46.306610	50.000000
0.670000	29.999980	0.000000	0.991287	0.000000	-1079.900017	0.000000	50.001588	0.993312	0.000000	0.000000	46.306636	50.000000
0.680000	29.999981	0.000000	0.991281	0.000000	-1079.600017	0.000000	50.001619	0.993328	0.000000	0.000000	46.306655	50.000000
0.690000	29.999981	0.000000	0.991273	0.000000	-1079.300017	0.000000	50.001651	0.993344	0.000000	0.000000	46.306667	50.000000
0.700000	29.999981	0.000000	0.991265	0.000000	-1079.000017	0.000000	50.001682	0.993360	0.000000	0.000000	46.306673	50.000000
0.710000	29.999982	0.000000	0.991256	0.000000	-1078.700017	0.000000	50.001714	0.993375	0.000000	0.000000	46.306673	50.000000
0.720000	29.999982	0.000000	0.991247	0.000000	-1078.400017	0.000000	50.001745	0.993390	0.000000	0.000000	46.306666	50.000000
0.735000	29.999982	0.000000	0.991231	0.000000	-1077.950018	0.000000	50.001792	0.993419	0.000000	0.000000	46.306635	50.000000
0.745000	29.999983	0.000000	0.991220	0.000000	-1077.650018	0.000000	50.001824	0.993434	0.000000	0.000000	46.306610	50.000000
0.755000	29.999983	0.000000	0.991208	0.000000	-1077.350018	0.000000	50.001856	0.993448	0.000000	0.000000	46.306580	50.000000
0.765000	29.999983	0.000000	0.991196	0.000000	-1077.050018	0.000000	50.001887	0.993461	0.000000	0.000000	46.306544	50.000000
0.775000	29.999983	0.000000	0.991183	0.000000	-1076.750018	0.000000	50.001919	0.993475	0.000000	0.000000	46.306503	50.000000
0.785000	29.999984	0.000000	0.991169	0.000000	-1076.450019	0.000000	50.001950	0.993488	0.000000	0.000000	46.306456	50.000000
0.795000	29.999984	0.000000	0.991155	0.000000	-1076.150019	0.000000	50.001982	0.993501	0.000000	0.000000	46.306404	50.000000
0.805000	29.999984	0.000000	0.991141	0.000000	-1075.850019	0.000000	50.002014	0.993514	0.000000	0.000000	46.306346	50.000000
0.815000	29.999985	0.000000	0.991125	0.000000	-1075.550019	0.000000	50.002045	0.993527	0.000000	0.000000	46.306284	50.000000
0.830000	29.999985	0.000000	0.991101	0.000000	-1075.100019	0.000000	50.002092	0.993539	0.000000	0.000000	46.306216	50.000000
0.840000	29.999985	0.000000	0.991085	0.000000	-1074.800020	0.000000	50.002124	0.993551	0.000000	0.000000	46.306144	50.000000
0.850000	29.999986	0.000000	0.991067	0.000000	-1074.500020	0.000000	50.002155	0.993563	0.000000	0.000000	46.306066	50.000000
0.860000	29.999986	0.000000	0.991050	0.000000	-1074.200020	0.000000	50.002187	0.993575	0.000000	0.000000	46.305984	50.000000
0.870000	29.999986	0.000000	0.991031	0.000000	-1073.900020	0.000000	50.002218	0.993586	0.000000	0.000000	46.305898	50.000000
0.880000	29.999987	0.000000	0.991013	0.000000	-1073.600020	0.000000	50.002250	0.993597	0.000000	0.000000	46.305807	50.000000
0.890000	29.999987	0.000000	0.990994	0.000000	-1073.300020	0.000000	50.002281	0.993608	0.000000	0.000000	46.305711	50.000000
